Title,RecommendedTitles
Toy Story (1995),"Aladdin and the King of Thieves (1996)|American Tail, An (1986)|American Tail: Fievel Goes West, An (1991)|Rugrats Movie, The (1998)|Bug's Life, A (1998)|Toy Story 2 (1999)|Saludos Amigos (1943)|Chicken Run (2000)|Adventures of Rocky and Bullwinkle, The (2000)|Goofy Movie, A (1995)"
Dracula: Dead and Loving It (1995),"Tales from the Hood (1995)|Cemetery Man (Dellamorte Dellamore) (1994)|Frighteners, The (1996)|Braindead (1992)|Bad Taste (1987)|Young Frankenstein (1974)|April Fool's Day (1986)|Machine, The (1994)|Gremlins (1984)|Gremlins 2: The New Batch (1990)"
Balto (1995),"Gumby: The Movie (1995)|Swan Princess, The (1994)|Pinocchio (1940)|Aristocats, The (1970)|Oliver & Company (1988)|Land Before Time III: The Time of the Great Giving (1995)|Winnie the Pooh and the Blustery Day (1968)|Sword in the Stone, The (1963)|Fox and the Hound, The (1981)|Mulan (1998)"
Nixon (1995),"Othello (1995)|Now and Then (1995)|Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)|Dangerous Minds (1995)|Dead Man Walking (1995)|Cry, the Beloved Country (1995)|Restoration (1995)|Lamerica (1994)|Georgia (1995)|Home for the Holidays (1995)"
Cutthroat Island (1995),"Mask of Zorro, The (1998)|First Knight (1995)|True Lies (1994)|Twister (1996)|African Queen, The (1951)|Princess Bride, The (1987)|Jewel of the Nile, The (1985)|Romancing the Stone (1984)|Bird on a Wire (1990)|Wings of Courage (1995)"
Casino (1995),"Eye for an Eye (1996)|Juror, The (1996)|Mary Reilly (1996)|City Hall (1996)|Taxi Driver (1976)|Babysitter, The (1995)|Disclosure (1994)|Death and the Maiden (1994)|Dolores Claiborne (1994)|Murder in the First (1995)"
Sense and Sensibility (1995),"Leaving Las Vegas (1995)|Carrington (1995)|How to Make an American Quilt (1995)|When Night Is Falling (1995)|Postino, Il (The Postman) (1994)|Bed of Roses (1996)|Angels and Insects (1995)|Bridges of Madison County, The (1995)|Frankie Starlight (1995)|Up Close and Personal (1996)"
Four Rooms (1995),"Assassins (1995)|Unforgettable (1996)|Jade (1995)|Mute Witness (1994)|Safe (1995)|Tie That Binds, The (1995)|Dream Man (1995)|Hideaway (1995)|Poison Ivy II (1995)|Shallow Grave (1994)"
Ace Ventura: When Nature Calls (1995),Father of the Bride Part II (1995)|It Takes Two (1995)|Mighty Aphrodite (1995)|Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996)|Bio-Dome (1996)|Friday (1995)|Black Sheep (1996)|In the Bleak Midwinter (1995)|Bottle Rocket (1996)|Mr. Wrong (1996)
Money Train (1995),"Sudden Death (1995)|Fair Game (1995)|Bad Boys (1995)|Under Siege 2: Dark Territory (1995)|Drop Zone (1994)|Hunted, The (1995)|Specialist, The (1994)|Bad Company (1995)|Street Fighter (1994)|Coldblooded (1995)"
Get Shorty (1995),Faster Pussycat! Kill! Kill! (1965)|Buffalo 66 (1998)|Best Men (1997)|Lethal Weapon 4 (1998)|Lethal Weapon (1987)|Lethal Weapon 2 (1989)|Lethal Weapon 3 (1992)|Montana (1998)|Man Bites Dog (C'est arrivé près de chez vous) (1992)|Waiting to Exhale (1995)
Copycat (1995),"Amateur (1994)|Kiss of Death (1995)|Guilty as Sin (1993)|Fargo (1996)|Once Upon a Time in America (1984)|Desperate Measures (1998)|Kiss the Girls (1997)|Thomas Crown Affair, The (1968)|Professional, The (a.k.a. Leon: The Professional) (1994)|Bound (1996)"
Assassins (1995),"Four Rooms (1995)|Unforgettable (1996)|Jade (1995)|Mute Witness (1994)|Safe (1995)|Tie That Binds, The (1995)|Dream Man (1995)|Hideaway (1995)|Poison Ivy II (1995)|Shallow Grave (1994)"
Powder (1995),"Twelve Monkeys (1995)|Day the Earth Stood Still, The (1951)|Until the End of the World (Bis ans Ende der Welt) (1991)|Contact (1997)|Nineteen Eighty-Four (1984)|Goodbye, 20th Century (Zbogum na dvadesetiot vek) (1998)|Conceiving Ada (1997)|Close Encounters of the Third Kind (1977)|Solaris (Solyaris) (1972)|Brother from Another Planet, The (1984)"
Leaving Las Vegas (1995),"Sense and Sensibility (1995)|Carrington (1995)|How to Make an American Quilt (1995)|When Night Is Falling (1995)|Postino, Il (The Postman) (1994)|Bed of Roses (1996)|Angels and Insects (1995)|Bridges of Madison County, The (1995)|Frankie Starlight (1995)|Up Close and Personal (1996)"
Othello (1995),"Nixon (1995)|Now and Then (1995)|Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)|Dangerous Minds (1995)|Dead Man Walking (1995)|Cry, the Beloved Country (1995)|Restoration (1995)|Lamerica (1994)|Georgia (1995)|Home for the Holidays (1995)"
Now and Then (1995),"Nixon (1995)|Othello (1995)|Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)|Dangerous Minds (1995)|Dead Man Walking (1995)|Cry, the Beloved Country (1995)|Restoration (1995)|Lamerica (1994)|Georgia (1995)|Home for the Holidays (1995)"
Persuasion (1995),"Modern Affair, A (1995)|Jack and Sarah (1995)|Promise, The (Versprechen, Das) (1994)|Walking and Talking (1996)|Crude Oasis, The (1995)|1-900 (1994)|Liebelei (1933)|Affair to Remember, An (1957)|Madagascar Skin (1995)|Hustler White (1996)"
"City of Lost Children, The (1995)",Barbarella (1968)|Mighty Peking Man (Hsing hsing wang) (1977)|My Science Project (1985)|Supernova (2000)|Baby... Secret of the Lost Legend (1985)|Voyage to the Bottom of the Sea (1961)|Fantastic Voyage (1966)|Judge Dredd (1995)|Stargate (1994)|Star Trek: Generations (1994)
Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),"Nixon (1995)|Othello (1995)|Now and Then (1995)|Dangerous Minds (1995)|Dead Man Walking (1995)|Cry, the Beloved Country (1995)|Restoration (1995)|Lamerica (1994)|Georgia (1995)|Home for the Holidays (1995)"
Dangerous Minds (1995),"Nixon (1995)|Othello (1995)|Now and Then (1995)|Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)|Dead Man Walking (1995)|Cry, the Beloved Country (1995)|Restoration (1995)|Lamerica (1994)|Georgia (1995)|Home for the Holidays (1995)"
Twelve Monkeys (1995),"Powder (1995)|Day the Earth Stood Still, The (1951)|Until the End of the World (Bis ans Ende der Welt) (1991)|Contact (1997)|Nineteen Eighty-Four (1984)|Goodbye, 20th Century (Zbogum na dvadesetiot vek) (1998)|Conceiving Ada (1997)|Close Encounters of the Third Kind (1977)|Solaris (Solyaris) (1972)|Brother from Another Planet, The (1984)"
Wings of Courage (1995),"Golden Earrings (1947)|Big Blue, The (Le Grand Bleu) (1988)|Excess Baggage (1997)|Medicine Man (1992)|Cutthroat Island (1995)|Jungle Book, The (1994)|Six Days Seven Nights (1998)|Mask of Zorro, The (1998)|Legend (1985)|Blue Lagoon, The (1980)"
Babe (1995),"Pollyanna (1960)|Wide Awake (1998)|Waiting to Exhale (1995)|To Die For (1995)|Big Green, The (1995)|Kicking and Screaming (1995)|Big Bully (1996)|Last Summer in the Hamptons (1995)|Dunston Checks In (1996)|Nobody Loves Me (Keiner liebt mich) (1994)"
Carrington (1995),"Sense and Sensibility (1995)|Leaving Las Vegas (1995)|How to Make an American Quilt (1995)|When Night Is Falling (1995)|Postino, Il (The Postman) (1994)|Bed of Roses (1996)|Angels and Insects (1995)|Bridges of Madison County, The (1995)|Frankie Starlight (1995)|Up Close and Personal (1996)"
Dead Man Walking (1995),"Nixon (1995)|Othello (1995)|Now and Then (1995)|Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)|Dangerous Minds (1995)|Cry, the Beloved Country (1995)|Restoration (1995)|Lamerica (1994)|Georgia (1995)|Home for the Holidays (1995)"
Across the Sea of Time (1995),"Nico Icon (1995)|Heidi Fleiss: Hollywood Madam (1995)|Catwalk (1995)|Anne Frank Remembered (1995)|Jupiter's Wife (1994)|Sonic Outlaws (1995)|From the Journals of Jean Seberg (1995)|Man of the Year (1995)|Crumb (1994)|Show, The (1995)"
It Takes Two (1995),Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|Mighty Aphrodite (1995)|Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996)|Bio-Dome (1996)|Friday (1995)|Black Sheep (1996)|In the Bleak Midwinter (1995)|Bottle Rocket (1996)|Mr. Wrong (1996)
Clueless (1995),Grumpier Old Men (1995)|Sabrina (1995)|Two if by Sea (1996)|French Twist (Gazon maudit) (1995)|Vampire in Brooklyn (1995)|If Lucy Fell (1996)|Boomerang (1992)|Pie in the Sky (1995)|French Kiss (1995)|Forget Paris (1995)
"Cry, the Beloved Country (1995)",Nixon (1995)|Othello (1995)|Now and Then (1995)|Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)|Dangerous Minds (1995)|Dead Man Walking (1995)|Restoration (1995)|Lamerica (1994)|Georgia (1995)|Home for the Holidays (1995)
Richard III (1995),"Beyond Rangoon (1995)|Walking Dead, The (1995)|Schindler's List (1993)|Courage Under Fire (1996)|Nothing Personal (1995)|Michael Collins (1996)|Platoon (1986)|Paths of Glory (1957)|Apocalypse Now (1979)|Ran (1985)"
Dead Presidents (1995),"Menace II Society (1993)|Godfather, The (1972)|Godfather: Part II, The (1974)|Godfather: Part III, The (1990)|Untouchables, The (1987)|Limey, The (1999)|Batman (1989)|Best Men (1997)|Lethal Weapon 4 (1998)|French Connection, The (1971)"
Restoration (1995),"Nixon (1995)|Othello (1995)|Now and Then (1995)|Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)|Dangerous Minds (1995)|Dead Man Walking (1995)|Cry, the Beloved Country (1995)|Lamerica (1994)|Georgia (1995)|Home for the Holidays (1995)"
Mortal Kombat (1995),"Waterworld (1995)|Good Man in Africa, A (1994)|Quest, The (1996)|Fled (1996)|Adventures of Robin Hood, The (1938)|Ghost and the Darkness, The (1996)|Raiders of the Lost Ark (1981)|Highlander (1986)|Indiana Jones and the Last Crusade (1989)|Conan the Barbarian (1982)"
To Die For (1995),"Waiting to Exhale (1995)|Kicking and Screaming (1995)|Big Bully (1996)|Last Summer in the Hamptons (1995)|Nobody Loves Me (Keiner liebt mich) (1994)|Nueba Yol (1995)|Doom Generation, The (1995)|Unstrung Heroes (1995)|Boys on the Side (1995)|Eat Drink Man Woman (1994)"
How to Make an American Quilt (1995),"Sense and Sensibility (1995)|Leaving Las Vegas (1995)|Carrington (1995)|When Night Is Falling (1995)|Postino, Il (The Postman) (1994)|Bed of Roses (1996)|Angels and Insects (1995)|Bridges of Madison County, The (1995)|Frankie Starlight (1995)|Up Close and Personal (1996)"
Seven (Se7en) (1995),"Usual Suspects, The (1995)|Romeo Is Bleeding (1993)|Purple Noon (1960)|Reservoir Dogs (1992)|Albino Alligator (1996)|City of Industry (1997)|Playing God (1997)|Incognito (1997)|Red Corner (1997)|Young and Innocent (1937)"
Pocahontas (1995),"Lady and the Tramp (1955)|Little Mermaid, The (1989)|Lion King, The (1994)|Snow White and the Seven Dwarfs (1937)|Beauty and the Beast (1991)|All Dogs Go to Heaven 2 (1996)|James and the Giant Peach (1996)|Hunchback of Notre Dame, The (1996)|Cinderella (1950)|Three Caballeros, The (1945)"
When Night Is Falling (1995),"Sense and Sensibility (1995)|Leaving Las Vegas (1995)|Carrington (1995)|How to Make an American Quilt (1995)|Postino, Il (The Postman) (1994)|Bed of Roses (1996)|Angels and Insects (1995)|Bridges of Madison County, The (1995)|Frankie Starlight (1995)|Up Close and Personal (1996)"
"Usual Suspects, The (1995)",Seven (Se7en) (1995)|Romeo Is Bleeding (1993)|Purple Noon (1960)|Reservoir Dogs (1992)|Albino Alligator (1996)|City of Industry (1997)|Playing God (1997)|Incognito (1997)|Red Corner (1997)|Young and Innocent (1937)
Guardian Angel (1994),"Outbreak (1995)|Tough and Deadly (1995)|Condition Red (1995)|Hostile Intentions (1994)|Smilla's Sense of Snow (1997)|Fire Down Below (1997)|Mercury Rising (1998)|Born American (1986)|Get Carter (2000)|Devil's Own, The (1997)"
Mighty Aphrodite (1995),Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)|Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996)|Bio-Dome (1996)|Friday (1995)|Black Sheep (1996)|In the Bleak Midwinter (1995)|Bottle Rocket (1996)|Mr. Wrong (1996)
Lamerica (1994),"Nixon (1995)|Othello (1995)|Now and Then (1995)|Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)|Dangerous Minds (1995)|Dead Man Walking (1995)|Cry, the Beloved Country (1995)|Restoration (1995)|Georgia (1995)|Home for the Holidays (1995)"
"Big Green, The (1995)","Dunston Checks In (1996)|Heavyweights (1994)|Flintstones, The (1994)|Richie Rich (1994)|Little Big League (1994)|Little Rascals, The (1994)|Home Alone (1990)|Harriet the Spy (1996)|Matilda (1996)|First Kid (1996)"
Georgia (1995),"Nixon (1995)|Othello (1995)|Now and Then (1995)|Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)|Dangerous Minds (1995)|Dead Man Walking (1995)|Cry, the Beloved Country (1995)|Restoration (1995)|Lamerica (1994)|Home for the Holidays (1995)"
Kids of the Round Table (1995),"Jumanji (1995)|Indian in the Cupboard, The (1995)|NeverEnding Story III, The (1994)|Escape to Witch Mountain (1975)|Labyrinth (1986)|Goonies, The (1985)|Darby O'Gill and the Little People (1959)|NeverEnding Story, The (1984)|NeverEnding Story II: The Next Chapter, The (1990)|Santa Claus: The Movie (1985)"
Home for the Holidays (1995),"Nixon (1995)|Othello (1995)|Now and Then (1995)|Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)|Dangerous Minds (1995)|Dead Man Walking (1995)|Cry, the Beloved Country (1995)|Restoration (1995)|Lamerica (1994)|Georgia (1995)"
"Postino, Il (The Postman) (1994)","Sense and Sensibility (1995)|Leaving Las Vegas (1995)|Carrington (1995)|How to Make an American Quilt (1995)|When Night Is Falling (1995)|Bed of Roses (1996)|Angels and Insects (1995)|Bridges of Madison County, The (1995)|Frankie Starlight (1995)|Up Close and Personal (1996)"
"Confessional, The (Le Confessionnal) (1995)","Before and After (1996)|Hour of the Pig, The (1993)|Lone Star (1996)|Picnic at Hanging Rock (1975)|In the Heat of the Night (1967)|Klute (1971)|Rapture, The (1991)|Blue Velvet (1986)|Red Violin, The (Le Violon rouge) (1998)|Morning After, The (1986)"
"Indian in the Cupboard, The (1995)","Jumanji (1995)|Kids of the Round Table (1995)|NeverEnding Story III, The (1994)|Escape to Witch Mountain (1975)|Labyrinth (1986)|Goonies, The (1985)|Darby O'Gill and the Little People (1959)|NeverEnding Story, The (1984)|NeverEnding Story II: The Next Chapter, The (1990)|Santa Claus: The Movie (1985)"
Eye for an Eye (1996),"Casino (1995)|Juror, The (1996)|Mary Reilly (1996)|City Hall (1996)|Taxi Driver (1976)|Babysitter, The (1995)|Disclosure (1994)|Death and the Maiden (1994)|Dolores Claiborne (1994)|Murder in the First (1995)"
Mr. Holland's Opus (1995),"Nixon (1995)|Othello (1995)|Now and Then (1995)|Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)|Dangerous Minds (1995)|Dead Man Walking (1995)|Cry, the Beloved Country (1995)|Restoration (1995)|Lamerica (1994)|Georgia (1995)"
Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)|Mighty Aphrodite (1995)|Bio-Dome (1996)|Friday (1995)|Black Sheep (1996)|In the Bleak Midwinter (1995)|Bottle Rocket (1996)|Mr. Wrong (1996)
Two if by Sea (1996),Grumpier Old Men (1995)|Sabrina (1995)|Clueless (1995)|French Twist (Gazon maudit) (1995)|Vampire in Brooklyn (1995)|If Lucy Fell (1996)|Boomerang (1992)|Pie in the Sky (1995)|French Kiss (1995)|Forget Paris (1995)
Bio-Dome (1996),Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)|Mighty Aphrodite (1995)|Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996)|Friday (1995)|Black Sheep (1996)|In the Bleak Midwinter (1995)|Bottle Rocket (1996)|Mr. Wrong (1996)
Lawnmower Man 2: Beyond Cyberspace (1996),"Screamers (1995)|Net, The (1995)|Virtuosity (1995)|Robocop 3 (1993)|Island of Dr. Moreau, The (1996)|Mimic (1997)|Pi (1998)|Soylent Green (1973)|Cube (1997)|Stepford Wives, The (1975)"
Two Bits (1995),"Nixon (1995)|Othello (1995)|Now and Then (1995)|Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)|Dangerous Minds (1995)|Dead Man Walking (1995)|Cry, the Beloved Country (1995)|Restoration (1995)|Lamerica (1994)|Georgia (1995)"
French Twist (Gazon maudit) (1995),Grumpier Old Men (1995)|Sabrina (1995)|Clueless (1995)|Two if by Sea (1996)|Vampire in Brooklyn (1995)|If Lucy Fell (1996)|Boomerang (1992)|Pie in the Sky (1995)|French Kiss (1995)|Forget Paris (1995)
Friday (1995),Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)|Mighty Aphrodite (1995)|Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996)|Bio-Dome (1996)|Black Sheep (1996)|In the Bleak Midwinter (1995)|Bottle Rocket (1996)|Mr. Wrong (1996)
From Dusk Till Dawn (1996),"Heat (1995)|Hackers (1995)|Serial Mom (1994)|I Went Down (1997)|Dead Men Don't Wear Plaid (1982)|Ronin (1998)|Psycho (1998)|Day of the Beast, The (El Día de la bestia) (1995)|Lock, Stock & Two Smoking Barrels (1998)|Goodbye, Lover (1999)"
Fair Game (1995),"Sudden Death (1995)|Money Train (1995)|Bad Boys (1995)|Under Siege 2: Dark Territory (1995)|Drop Zone (1994)|Hunted, The (1995)|Specialist, The (1994)|Bad Company (1995)|Street Fighter (1994)|Coldblooded (1995)"
Kicking and Screaming (1995),"Waiting to Exhale (1995)|To Die For (1995)|Big Bully (1996)|Last Summer in the Hamptons (1995)|Nobody Loves Me (Keiner liebt mich) (1994)|Nueba Yol (1995)|Doom Generation, The (1995)|Unstrung Heroes (1995)|Boys on the Side (1995)|Eat Drink Man Woman (1994)"
"Misérables, Les (1995)","Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)|Farinelli: il castrato (1994)|Backbeat (1993)|Doors, The (1991)|Evita (1996)|Selena (1997)|Nashville (1975)|Tommy (1975)|Big Fella (1937)|King Creole (1958)"
Bed of Roses (1996),"Sense and Sensibility (1995)|Leaving Las Vegas (1995)|Carrington (1995)|How to Make an American Quilt (1995)|When Night Is Falling (1995)|Postino, Il (The Postman) (1994)|Angels and Insects (1995)|Bridges of Madison County, The (1995)|Frankie Starlight (1995)|Up Close and Personal (1996)"
Big Bully (1996),"Waiting to Exhale (1995)|To Die For (1995)|Kicking and Screaming (1995)|Last Summer in the Hamptons (1995)|Nobody Loves Me (Keiner liebt mich) (1994)|Nueba Yol (1995)|Doom Generation, The (1995)|Unstrung Heroes (1995)|Boys on the Side (1995)|Eat Drink Man Woman (1994)"
Screamers (1995),"Lawnmower Man 2: Beyond Cyberspace (1996)|Net, The (1995)|Virtuosity (1995)|Robocop 3 (1993)|Island of Dr. Moreau, The (1996)|Mimic (1997)|Pi (1998)|Soylent Green (1973)|Cube (1997)|Stepford Wives, The (1975)"
Nico Icon (1995),"Across the Sea of Time (1995)|Heidi Fleiss: Hollywood Madam (1995)|Catwalk (1995)|Anne Frank Remembered (1995)|Jupiter's Wife (1994)|Sonic Outlaws (1995)|From the Journals of Jean Seberg (1995)|Man of the Year (1995)|Crumb (1994)|Show, The (1995)"
"Crossing Guard, The (1995)","Nixon (1995)|Othello (1995)|Now and Then (1995)|Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)|Dangerous Minds (1995)|Dead Man Walking (1995)|Cry, the Beloved Country (1995)|Restoration (1995)|Lamerica (1994)|Georgia (1995)"
"Juror, The (1996)","Casino (1995)|Eye for an Eye (1996)|Mary Reilly (1996)|City Hall (1996)|Taxi Driver (1976)|Babysitter, The (1995)|Disclosure (1994)|Death and the Maiden (1994)|Dolores Claiborne (1994)|Murder in the First (1995)"
"White Balloon, The (Badkonake Sefid ) (1995)","Nixon (1995)|Othello (1995)|Now and Then (1995)|Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)|Dangerous Minds (1995)|Dead Man Walking (1995)|Cry, the Beloved Country (1995)|Restoration (1995)|Lamerica (1994)|Georgia (1995)"
Things to Do in Denver when You're Dead (1995),"Thieves (Voleurs, Les) (1996)|Atlantic City (1980)|Professional, The (a.k.a. Leon: The Professional) (1994)|Bound (1996)|Sense and Sensibility (1995)|Leaving Las Vegas (1995)|Carrington (1995)|How to Make an American Quilt (1995)|When Night Is Falling (1995)|Postino, Il (The Postman) (1994)"
Antonia's Line (Antonia) (1995),"Nixon (1995)|Othello (1995)|Now and Then (1995)|Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)|Dangerous Minds (1995)|Dead Man Walking (1995)|Cry, the Beloved Country (1995)|Restoration (1995)|Lamerica (1994)|Georgia (1995)"
Once Upon a Time... When We Were Colored (1995),"Nixon (1995)|Othello (1995)|Now and Then (1995)|Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)|Dangerous Minds (1995)|Dead Man Walking (1995)|Cry, the Beloved Country (1995)|Restoration (1995)|Lamerica (1994)|Georgia (1995)"
Last Summer in the Hamptons (1995),"Waiting to Exhale (1995)|To Die For (1995)|Kicking and Screaming (1995)|Big Bully (1996)|Nobody Loves Me (Keiner liebt mich) (1994)|Nueba Yol (1995)|Doom Generation, The (1995)|Unstrung Heroes (1995)|Boys on the Side (1995)|Eat Drink Man Woman (1994)"
Angels and Insects (1995),"Sense and Sensibility (1995)|Leaving Las Vegas (1995)|Carrington (1995)|How to Make an American Quilt (1995)|When Night Is Falling (1995)|Postino, Il (The Postman) (1994)|Bed of Roses (1996)|Bridges of Madison County, The (1995)|Frankie Starlight (1995)|Up Close and Personal (1996)"
White Squall (1996),"War, The (1994)|Old Man and the Sea, The (1958)|Passion in the Desert (1998)|Squanto: A Warrior's Tale (1994)|Male and Female (1919)|Fitzcarraldo (1982)|Easy Rider (1969)|Beach, The (2000)|Dersu Uzala (1974)|Free Willy 2: The Adventure Home (1995)"
Dunston Checks In (1996),"Big Green, The (1995)|Heavyweights (1994)|Flintstones, The (1994)|Richie Rich (1994)|Little Big League (1994)|Little Rascals, The (1994)|Home Alone (1990)|Harriet the Spy (1996)|Matilda (1996)|First Kid (1996)"
Black Sheep (1996),Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)|Mighty Aphrodite (1995)|Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996)|Bio-Dome (1996)|Friday (1995)|In the Bleak Midwinter (1995)|Bottle Rocket (1996)|Mr. Wrong (1996)
Nick of Time (1995),"Broken Arrow (1996)|Shopping (1994)|Die Hard: With a Vengeance (1995)|Natural Born Killers (1994)|River Wild, The (1994)|Mirage (1995)|Blown Away (1994)|Fugitive, The (1993)|In the Line of Fire (1993)|Executive Decision (1996)"
"Journey of August King, The (1995)","Nixon (1995)|Othello (1995)|Now and Then (1995)|Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)|Dangerous Minds (1995)|Dead Man Walking (1995)|Cry, the Beloved Country (1995)|Restoration (1995)|Lamerica (1994)|Georgia (1995)"
Mary Reilly (1996),"Casino (1995)|Eye for an Eye (1996)|Juror, The (1996)|City Hall (1996)|Taxi Driver (1976)|Babysitter, The (1995)|Disclosure (1994)|Death and the Maiden (1994)|Dolores Claiborne (1994)|Murder in the First (1995)"
Vampire in Brooklyn (1995),Grumpier Old Men (1995)|Sabrina (1995)|Clueless (1995)|Two if by Sea (1996)|French Twist (Gazon maudit) (1995)|If Lucy Fell (1996)|Boomerang (1992)|Pie in the Sky (1995)|French Kiss (1995)|Forget Paris (1995)
Beautiful Girls (1996),"Nixon (1995)|Othello (1995)|Now and Then (1995)|Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)|Dangerous Minds (1995)|Dead Man Walking (1995)|Cry, the Beloved Country (1995)|Restoration (1995)|Lamerica (1994)|Georgia (1995)"
Broken Arrow (1996),"Nick of Time (1995)|Shopping (1994)|Die Hard: With a Vengeance (1995)|Natural Born Killers (1994)|River Wild, The (1994)|Mirage (1995)|Blown Away (1994)|Fugitive, The (1993)|In the Line of Fire (1993)|Executive Decision (1996)"
