Title,RecommendedTitles
Toy Story (1995),"Aladdin and the King of Thieves (1996)|American Tail, An (1986)|American Tail: Fievel Goes West, An (1991)"
Screamers (1995),"Lawnmower Man 2: Beyond Cyberspace (1996)|Net, The (1995)|Virtuosity (1995)"
Nico Icon (1995),Across the Sea of Time (1995)|Heidi Fleiss: Hollywood Madam (1995)|Catwalk (1995)
"Crossing Guard, The (1995)",Nixon (1995)|Othello (1995)|Now and Then (1995)
"Juror, The (1996)",Casino (1995)|Eye for an Eye (1996)|Mary Reilly (1996)
"White Balloon, The (Badkonake Sefid ) (1995)",Nixon (1995)|Othello (1995)|Now and Then (1995)
Things to Do in Denver when You're Dead (1995),"Thieves (Voleurs, Les) (1996)|Atlantic City (1980)|Professional, The (a.k.a. Leon: The Professional) (1994)"
Antonia's Line (Antonia) (1995),Nixon (1995)|Othello (1995)|Now and Then (1995)
Once Upon a Time... When We Were Colored (1995),Nixon (1995)|Othello (1995)|Now and Then (1995)
Last Summer in the Hamptons (1995),Waiting to Exhale (1995)|To Die For (1995)|Kicking and Screaming (1995)
Angels and Insects (1995),Sense and Sensibility (1995)|Leaving Las Vegas (1995)|Carrington (1995)
White Squall (1996),"War, The (1994)|Old Man and the Sea, The (1958)|Passion in the Desert (1998)"
Dunston Checks In (1996),"Big Green, The (1995)|Heavyweights (1994)|Flintstones, The (1994)"
Black Sheep (1996),Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)
Nick of Time (1995),Broken Arrow (1996)|Shopping (1994)|Die Hard: With a Vengeance (1995)
"Journey of August King, The (1995)",Nixon (1995)|Othello (1995)|Now and Then (1995)
Mary Reilly (1996),"Casino (1995)|Eye for an Eye (1996)|Juror, The (1996)"
Vampire in Brooklyn (1995),Grumpier Old Men (1995)|Sabrina (1995)|Clueless (1995)
Beautiful Girls (1996),Nixon (1995)|Othello (1995)|Now and Then (1995)
Broken Arrow (1996),Nick of Time (1995)|Shopping (1994)|Die Hard: With a Vengeance (1995)
In the Bleak Midwinter (1995),Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)
"Hate (Haine, La) (1995)",Nixon (1995)|Othello (1995)|Now and Then (1995)
Shopping (1994),Nick of Time (1995)|Broken Arrow (1996)|Die Hard: With a Vengeance (1995)
Heidi Fleiss: Hollywood Madam (1995),Across the Sea of Time (1995)|Nico Icon (1995)|Catwalk (1995)
City Hall (1996),"Casino (1995)|Eye for an Eye (1996)|Juror, The (1996)"
Bottle Rocket (1996),Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)
Mr. Wrong (1996),Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)
Unforgettable (1996),Four Rooms (1995)|Assassins (1995)|Jade (1995)
Happy Gilmore (1996),Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)
"Bridges of Madison County, The (1995)",Sense and Sensibility (1995)|Leaving Las Vegas (1995)|Carrington (1995)
Nobody Loves Me (Keiner liebt mich) (1994),Waiting to Exhale (1995)|To Die For (1995)|Kicking and Screaming (1995)
Muppet Treasure Island (1996),"Hercules (1997)|Nightmare Before Christmas, The (1993)|Herbie Rides Again (1974)"
Catwalk (1995),Across the Sea of Time (1995)|Nico Icon (1995)|Heidi Fleiss: Hollywood Madam (1995)
Headless Body in Topless Bar (1995),Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)
Braveheart (1995),"Heaven & Earth (1993)|Full Metal Jacket (1987)|Boat, The (Das Boot) (1981)"
Taxi Driver (1976),"Casino (1995)|Eye for an Eye (1996)|Juror, The (1996)"
Rumble in the Bronx (1995),Cliffhanger (1993)|Batman & Robin (1997)|Batman Forever (1995)
Before and After (1996),"Confessional, The (Le Confessionnal) (1995)|Hour of the Pig, The (1993)|Lone Star (1996)"
Margaret's Museum (1995),Nixon (1995)|Othello (1995)|Now and Then (1995)
Happiness Is in the Field (1995),Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)
Anne Frank Remembered (1995),Across the Sea of Time (1995)|Nico Icon (1995)|Heidi Fleiss: Hollywood Madam (1995)
"Young Poisoner's Handbook, The (1995)",Clean Slate (Coup de Torchon) (1981)|Switchblade Sisters (1975)|Original Gangstas (1996)
If Lucy Fell (1996),Grumpier Old Men (1995)|Sabrina (1995)|Clueless (1995)
"Steal Big, Steal Little (1995)",Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)
Race the Sun (1996),Nixon (1995)|Othello (1995)|Now and Then (1995)
"Boys of St. Vincent, The (1993)",Nixon (1995)|Othello (1995)|Now and Then (1995)
Boomerang (1992),Grumpier Old Men (1995)|Sabrina (1995)|Clueless (1995)
Chungking Express (1994),Flesh and Bone (1993)|Lulu on the Bridge (1998)|Sommersby (1993)
"Star Maker, The (Uomo delle stelle, L') (1995)",Nixon (1995)|Othello (1995)|Now and Then (1995)
Flirting With Disaster (1996),Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)
"NeverEnding Story III, The (1994)","Jumanji (1995)|Kids of the Round Table (1995)|Indian in the Cupboard, The (1995)"
"Silence of the Palace, The (Saimt el Qusur) (1994)",Nixon (1995)|Othello (1995)|Now and Then (1995)
Jupiter's Wife (1994),Across the Sea of Time (1995)|Nico Icon (1995)|Heidi Fleiss: Hollywood Madam (1995)
Pie in the Sky (1995),Grumpier Old Men (1995)|Sabrina (1995)|Clueless (1995)
Angela (1995),Nixon (1995)|Othello (1995)|Now and Then (1995)
Frankie Starlight (1995),Sense and Sensibility (1995)|Leaving Las Vegas (1995)|Carrington (1995)
Jade (1995),Four Rooms (1995)|Assassins (1995)|Unforgettable (1996)
Nueba Yol (1995),Waiting to Exhale (1995)|To Die For (1995)|Kicking and Screaming (1995)
Sonic Outlaws (1995),Across the Sea of Time (1995)|Nico Icon (1995)|Heidi Fleiss: Hollywood Madam (1995)
Down Periscope (1996),Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)
From the Journals of Jean Seberg (1995),Across the Sea of Time (1995)|Nico Icon (1995)|Heidi Fleiss: Hollywood Madam (1995)
Man of the Year (1995),Across the Sea of Time (1995)|Nico Icon (1995)|Heidi Fleiss: Hollywood Madam (1995)
"Neon Bible, The (1995)",Nixon (1995)|Othello (1995)|Now and Then (1995)
Target (1995),"Perfect World, A (1993)|Program, The (1993)|Romper Stomper (1992)"
Up Close and Personal (1996),Sense and Sensibility (1995)|Leaving Las Vegas (1995)|Carrington (1995)
"Birdcage, The (1996)",Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)
Shadows (Cienie) (1988),Nixon (1995)|Othello (1995)|Now and Then (1995)
Gospa (1995),Nixon (1995)|Othello (1995)|Now and Then (1995)
"Brothers McMullen, The (1995)",Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)
Bad Boys (1995),Sudden Death (1995)|Money Train (1995)|Fair Game (1995)
"Amazing Panda Adventure, The (1995)",Tom and Huck (1995)|Casper (1995)|Far From Home: The Adventures of Yellow Dog (1995)
"Basketball Diaries, The (1995)",Nixon (1995)|Othello (1995)|Now and Then (1995)
"Awfully Big Adventure, An (1995)",Nixon (1995)|Othello (1995)|Now and Then (1995)
Amateur (1994),Copycat (1995)|Kiss of Death (1995)|Guilty as Sin (1993)
Apollo 13 (1995),Nixon (1995)|Othello (1995)|Now and Then (1995)
Rob Roy (1995),"Colonel Chabert, Le (1994)|Casablanca (1942)|Gone with the Wind (1939)"
"Addiction, The (1995)","Lord of Illusions (1995)|Prophecy, The (1995)|Castle Freak (1995)"
Batman Forever (1995),Batman Returns (1992)|Midnight Run (1988)|Rumble in the Bronx (1995)
Belle de jour (1967),Nixon (1995)|Othello (1995)|Now and Then (1995)
Beyond Rangoon (1995),"Richard III (1995)|Walking Dead, The (1995)|Schindler's List (1993)"
Blue in the Face (1995),Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)
Canadian Bacon (1994),In the Army Now (1994)|Bananas (1971)|Mediterraneo (1991)
Casper (1995),"Tom and Huck (1995)|Amazing Panda Adventure, The (1995)|Far From Home: The Adventures of Yellow Dog (1995)"
Clockers (1995),Nixon (1995)|Othello (1995)|Now and Then (1995)
Congo (1995),Judge Dredd (1995)|Stargate (1994)|Star Trek: Generations (1994)
Crimson Tide (1995),"Lifeboat (1944)|Devil's Own, The (1997)|Casino (1995)"
Crumb (1994),Across the Sea of Time (1995)|Nico Icon (1995)|Heidi Fleiss: Hollywood Madam (1995)
Desperado (1995),"Crow, The (1994)|Speed (1994)|Saint, The (1997)"
Devil in a Blue Dress (1995),L.A. Confidential (1997)|Mulholland Falls (1996)|Laura (1944)
Die Hard: With a Vengeance (1995),Nick of Time (1995)|Broken Arrow (1996)|Shopping (1994)
"Doom Generation, The (1995)",Waiting to Exhale (1995)|To Die For (1995)|Kicking and Screaming (1995)
Feast of July (1995),Nixon (1995)|Othello (1995)|Now and Then (1995)
First Knight (1995),Cutthroat Island (1995)|Cyrano de Bergerac (1990)|Ben-Hur (1959)
Free Willy 2: The Adventure Home (1995),Free Willy (1993)|Buddy (1997)|Free Willy 3: The Rescue (1997)
Hackers (1995),Heat (1995)|Ronin (1998)|Someone to Watch Over Me (1987)
Jeffrey (1995),Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)
Johnny Mnemonic (1995),Nemesis 2: Nebula (1995)|Terminator 2: Judgment Day (1991)|Solo (1996)
Judge Dredd (1995),Stargate (1994)|Star Trek: Generations (1994)|Jurassic Park (1993)
Jury Duty (1995),Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)
Kids (1995),Nixon (1995)|Othello (1995)|Now and Then (1995)
Living in Oblivion (1995),Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)
Lord of Illusions (1995),"Addiction, The (1995)|Prophecy, The (1995)|Castle Freak (1995)"
Love & Human Remains (1993),Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)
Mad Love (1995),Sense and Sensibility (1995)|Leaving Las Vegas (1995)|Carrington (1995)
Mallrats (1995),Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)
Mighty Morphin Power Rangers: The Movie (1995),"Next Karate Kid, The (1994)|3 Ninjas: High Noon On Mega Mountain (1998)|Turbo: A Power Rangers Movie (1997)"
Moonlight and Valentino (1995),Sense and Sensibility (1995)|Leaving Las Vegas (1995)|Carrington (1995)
Mute Witness (1994),Four Rooms (1995)|Assassins (1995)|Unforgettable (1996)
Nadja (1994),Nixon (1995)|Othello (1995)|Now and Then (1995)
"Net, The (1995)",Lawnmower Man 2: Beyond Cyberspace (1996)|Screamers (1995)|Virtuosity (1995)
Nine Months (1995),Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)
Party Girl (1995),Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)
"Prophecy, The (1995)","Addiction, The (1995)|Lord of Illusions (1995)|Castle Freak (1995)"
Reckless (1995),Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)
Safe (1995),Four Rooms (1995)|Assassins (1995)|Unforgettable (1996)
"Scarlet Letter, The (1995)",Nixon (1995)|Othello (1995)|Now and Then (1995)
"Show, The (1995)",Across the Sea of Time (1995)|Nico Icon (1995)|Heidi Fleiss: Hollywood Madam (1995)
Showgirls (1995),Nixon (1995)|Othello (1995)|Now and Then (1995)
Smoke (1995),Nixon (1995)|Othello (1995)|Now and Then (1995)
Something to Talk About (1995),"American President, The (1995)|Don Juan DeMarco (1995)|Corrina, Corrina (1994)"
Species (1995),Village of the Damned (1995)|Robert A. Heinlein's The Puppet Masters (1994)|Night of the Living Dead (1968)
"Stars Fell on Henrietta, The (1995)",Nixon (1995)|Othello (1995)|Now and Then (1995)
Strange Days (1995),Robocop (1987)|Robocop 2 (1990)|New York Cop (1996)
"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)","Mis�rables, Les (1995)|Farinelli: il castrato (1994)|Backbeat (1993)"
"Tie That Binds, The (1995)",Four Rooms (1995)|Assassins (1995)|Unforgettable (1996)
Three Wishes (1995),Nixon (1995)|Othello (1995)|Now and Then (1995)
Total Eclipse (1995),Sense and Sensibility (1995)|Leaving Las Vegas (1995)|Carrington (1995)
"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)
Under Siege 2: Dark Territory (1995),Sudden Death (1995)|Money Train (1995)|Fair Game (1995)
Unstrung Heroes (1995),Waiting to Exhale (1995)|To Die For (1995)|Kicking and Screaming (1995)
Unzipped (1995),Across the Sea of Time (1995)|Nico Icon (1995)|Heidi Fleiss: Hollywood Madam (1995)
"Walk in the Clouds, A (1995)",Sense and Sensibility (1995)|Leaving Las Vegas (1995)|Carrington (1995)
Waterworld (1995),"Mortal Kombat (1995)|Good Man in Africa, A (1994)|Quest, The (1996)"
White Man's Burden (1995),Nixon (1995)|Othello (1995)|Now and Then (1995)
Wild Bill (1995),Wyatt Earp (1994)|Bad Girls (1994)|Tombstone (1993)
"Browning Version, The (1994)",Nixon (1995)|Othello (1995)|Now and Then (1995)
Bushwhacked (1995),Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)
Burnt By the Sun (Utomlyonnye solntsem) (1994),Nixon (1995)|Othello (1995)|Now and Then (1995)
Before the Rain (Pred dozhdot) (1994),Nixon (1995)|Othello (1995)|Now and Then (1995)
Before Sunrise (1995),Sense and Sensibility (1995)|Leaving Las Vegas (1995)|Carrington (1995)
Billy Madison (1995),Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)
"Babysitter, The (1995)","Casino (1995)|Eye for an Eye (1996)|Juror, The (1996)"
Boys on the Side (1995),Waiting to Exhale (1995)|To Die For (1995)|Kicking and Screaming (1995)
"Cure, The (1995)",Nixon (1995)|Othello (1995)|Now and Then (1995)
Castle Freak (1995),"Addiction, The (1995)|Lord of Illusions (1995)|Prophecy, The (1995)"
Circle of Friends (1995),Sense and Sensibility (1995)|Leaving Las Vegas (1995)|Carrington (1995)
Clerks (1994),Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)
Don Juan DeMarco (1995),"American President, The (1995)|Something to Talk About (1995)|Corrina, Corrina (1994)"
Disclosure (1994),"Casino (1995)|Eye for an Eye (1996)|Juror, The (1996)"
Dream Man (1995),Four Rooms (1995)|Assassins (1995)|Unforgettable (1996)
Drop Zone (1994),Sudden Death (1995)|Money Train (1995)|Fair Game (1995)
Destiny Turns on the Radio (1995),Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)
Death and the Maiden (1994),"Casino (1995)|Eye for an Eye (1996)|Juror, The (1996)"
Dolores Claiborne (1994),"Casino (1995)|Eye for an Eye (1996)|Juror, The (1996)"
Dumb & Dumber (1994),Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)
Eat Drink Man Woman (1994),Waiting to Exhale (1995)|To Die For (1995)|Kicking and Screaming (1995)
Exotica (1994),Nixon (1995)|Othello (1995)|Now and Then (1995)
Exit to Eden (1994),Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)
Ed Wood (1994),Waiting to Exhale (1995)|To Die For (1995)|Kicking and Screaming (1995)
French Kiss (1995),Grumpier Old Men (1995)|Sabrina (1995)|Clueless (1995)
Forget Paris (1995),Grumpier Old Men (1995)|Sabrina (1995)|Clueless (1995)
Far From Home: The Adventures of Yellow Dog (1995),"Tom and Huck (1995)|Amazing Panda Adventure, The (1995)|Casper (1995)"
"Goofy Movie, A (1995)","Lady and the Tramp (1955)|Little Mermaid, The (1989)|Toy Story (1995)"
Hideaway (1995),Four Rooms (1995)|Assassins (1995)|Unforgettable (1996)
Fluke (1995),"Little Princess, A (1995)|Secret Garden, The (1993)|Kim (1950)"
Farinelli: il castrato (1994),"Mis�rables, Les (1995)|Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)|Backbeat (1993)"
Gordy (1995),Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)
Gumby: The Movie (1995),"Balto (1995)|Swan Princess, The (1994)|Pinocchio (1940)"
"Glass Shield, The (1994)",New Jersey Drive (1995)|Once Were Warriors (1994)|Pulp Fiction (1994)
Hoop Dreams (1994),Across the Sea of Time (1995)|Nico Icon (1995)|Heidi Fleiss: Hollywood Madam (1995)
Heavenly Creatures (1994),"Witness (1985)|Wings of the Dove, The (1997)|Professional, The (a.k.a. Leon: The Professional) (1994)"
Houseguest (1994),Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)
Immortal Beloved (1994),Sense and Sensibility (1995)|Leaving Las Vegas (1995)|Carrington (1995)
Heavyweights (1994),"Big Green, The (1995)|Dunston Checks In (1996)|Flintstones, The (1994)"
"Hunted, The (1995)",Sudden Death (1995)|Money Train (1995)|Fair Game (1995)
I.Q. (1994),Grumpier Old Men (1995)|Sabrina (1995)|Clueless (1995)
Interview with the Vampire (1994),Mary Shelley's Frankenstein (1994)|Beyond Bedlam (1993)|Wolf (1994)
Jefferson in Paris (1995),Nixon (1995)|Othello (1995)|Now and Then (1995)
"Jerky Boys, The (1994)",Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)
Junior (1994),"Coneheads (1993)|Mystery Science Theater 3000: The Movie (1996)|Visitors, The (Les Visiteurs) (1993)"
Just Cause (1995),"Underneath, The (1995)|True Crime (1995)|Heaven's Prisoners (1996)"
"Kid in King Arthur's Court, A (1995)","Willy Wonka and the Chocolate Factory (1971)|Borrowers, The (1997)|Space Jam (1996)"
Kiss of Death (1995),Copycat (1995)|Amateur (1994)|Guilty as Sin (1993)
Star Wars: Episode IV - A New Hope (1977),Tron (1982)|Star Wars: Episode I - The Phantom Menace (1999)|Judge Dredd (1995)
Little Women (1994),Nixon (1995)|Othello (1995)|Now and Then (1995)
"Little Princess, A (1995)","Fluke (1995)|Secret Garden, The (1993)|Kim (1950)"
Ladybird Ladybird (1994),Nixon (1995)|Othello (1995)|Now and Then (1995)
"Enfer, L' (1994)",Nixon (1995)|Othello (1995)|Now and Then (1995)
Like Water for Chocolate (Como agua para chocolate) (1992),Sense and Sensibility (1995)|Leaving Las Vegas (1995)|Carrington (1995)
Legends of the Fall (1994),"Rob Roy (1995)|Colonel Chabert, Le (1994)|Casablanca (1942)"
Major Payne (1994),Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)
Little Odessa (1994),Nixon (1995)|Othello (1995)|Now and Then (1995)
My Crazy Life (Mi vida loca) (1993),Nixon (1995)|Othello (1995)|Now and Then (1995)
Love Affair (1994),Sense and Sensibility (1995)|Leaving Las Vegas (1995)|Carrington (1995)
Losing Isaiah (1995),Nixon (1995)|Othello (1995)|Now and Then (1995)
"Madness of King George, The (1994)",Nixon (1995)|Othello (1995)|Now and Then (1995)
Mary Shelley's Frankenstein (1994),Interview with the Vampire (1994)|Beyond Bedlam (1993)|Wolf (1994)
Man of the House (1995),Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)
Mixed Nuts (1994),Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)
Milk Money (1994),Grumpier Old Men (1995)|Sabrina (1995)|Clueless (1995)
Miracle on 34th Street (1994),Nixon (1995)|Othello (1995)|Now and Then (1995)
Miami Rhapsody (1995),Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)
My Family (1995),Nixon (1995)|Othello (1995)|Now and Then (1995)
